mobile_id	batch
8d87e55af00e7d09757d629d03995c2b	bc_d2_n8_07_yd
272b183ddae40c982fde0de2c2732783	bc_d2_n8_07_yd
e56a4c912ea263919e4171d830ac7d23	bc_d2_n8_07_yd
1fe9c561a9ddf168a4aeb443fffa90a5	bc_d2_n8_07_yd
571f76749518091556a042b670a8cc6b	bc_d2_n8_07_yd
58243e4441846d1d3897d13549786305	bc_d2_n8_07_yd
d65c2ef05bd7e863a3ee15bd1fb4ea01	bc_d2_n8_10_yd
f606cb0d40b4b80848dea086395dd247	bc_d2_n8_10_yd
4cc395624d073316b5507559cc3a07c0	bc_d2_n8_10_yd
40c3b5b97c3924ea5a1b00d209ea3f27	bc_d2_n8_10_yd
5f91ad9034750f8901d254b809b711db	bc_d2_n8_10_yd
f64bc1111b1719200d99e538e44999b9	bc_d2_n8_10_yd
f5cafae206c913e33899101ff50b5a4c	bc_d2_n8_10_yd
89bb0f99f11de1c5595620070c5021b0	bc_d2_n8_10_yd
847cc139b6fa8b007d5575a9effa6036	bc_d2_n8_10_yd
50b464dfa62b0d26ed4edd8b2330f1b2	bc_d2_n8_10_yd
f6ac317ba680fa4df339d8309e9855e6	bc_d2_n8_10_yd
3c04d26bd023c54e5e53461e52644698	bc_d2_n8_10_yd
87895f6ed9212b9d1866108cdf94f1a6	bc_d2_n8_10_yd
188f5e9bfbe9bdc5f157678d9d2c4aa3	bc_d2_n8_10_yd
5d8a0650d4053cab49cdec1acc6af181	bc_d2_n8_10_yd
4b1716876d3b113893b3df82e068522d	bc_d2_n8_10_yd
51241cadeaa43f9088c855ca706a39fd	bc_d2_n8_10_yd
dff225228b2927614a79545e719d6660	bc_d2_n8_10_yd
c12d027e4e5bcf520509e703aeae2de3	bc_d2_n8_10_yd
ccdb43c2ef76d5f1b5d17d9d72c41615	bc_d2_n8_10_yd
44c97d389e357339e0b7bc9ca515eefd	bc_d2_n8_10_yd
067a78eb57b9e69a31f211fd75b1b9aa	bc_d2_n8_10_yd
6d2f57621a4892a5f736be0426c0a2a3	bc_d2_n8_10_yd
8656320f43c6e09df31bec81db04e7e2	bc_d2_n8_10_yd
f79fd056bd5de616b86ab4499b183c6d	bc_d2_n8_10_yd
cb3646a9736f74752f9e831db34edf0f	bc_d2_n8_10_yd
3288e0c3ad439503df346686e279f13a	bc_d2_n8_10_yd
89ef9e9b7cb530431678c17615cf5092	bc_d2_n8_10_yd
c7e7548e252743fbb88a9e7714a1793a	bc_d2_n8_10_yd
1274c87f1264c8adf975e9954dd01dc3	bc_d2_n8_10_yd
f1df65f944383726c235c376564a7135	bc_d2_n8_10_yd
532f6ad87c3388f0333907d91fa9b87c	bc_d2_n8_06_yd
a3fddc35b285924153ce9e3c130b0297	bc_d2_n8_06_yd
7f653e124555483d019fb8f5f988fda8	bc_d2_n8_06_yd
461bf5499d20122ed9284ce838b017b0	bc_d2_n8_06_yd
291903a4071f62bbab144515869dc479	bc_d2_n8_06_yd
fc1f670be2540a8558e36afaf9f2af20	bc_d2_n8_06_yd
b86c8738251d9abbb5e364878fb1daff	bc_d2_n8_06_yd
66726f5d23cde36d41c923d51237f7aa	bc_d2_n8_06_yd
ec474156f3f78c1c21c0c7aa785d24ec	bc_d2_n8_02_yd
67e18ecfd47b54dcaf5b7032ff2c0c2e	bc_d2_n8_02_yd
82c583eb5507fcd849e3602a5fe5fdc5	bc_d2_n8_02_yd
0209fb17707b69a166726014a5c47085	bc_d2_n8_02_yd
b3f492a271ac487aad680b572d594f79	bc_d2_n8_02_yd
4b4e71d58437ea0ec83dba42bf5d2904	bc_d2_n8_02_yd
6ffad12564dfc75b5d7539d72376896e	bc_d2_n8_02_yd
06a291d797e148aa40a4f84ec0ce4895	bc_d2_n8_02_yd
1b51b96859e853bca4d22f6723730886	bc_d2_n8_02_yd
b4202fd86382dee5b6875f5c1992a986	bc_d2_n8_02_yd
38be66f0a40c1d1dcf1e18484074f10f	bc_d2_n8_02_yd
d1babba94b6712e2684ed6ccfb215cb7	bc_d2_n8_02_yd
f4c25c44a05874e5e2489ee61cfee283	bc_d2_n8_02_yd
f9c08d8db2334b87b0991c5de4beb54b	bc_d2_n8_02_yd
6184a4fa321b3eb330711e0444a550da	bc_d2_n8_02_yd
e12e6c5993c84c1d88b3e948c324250f	bc_d2_n8_02_yd
7811a0e84ad0bbe5ca14cd56e8ed6800	bc_d2_n8_02_yd
d8720bee3a8f78cc19b30f871da3e2e5	bc_d2_n8_02_yd
75a86b8377047395b3021051149eb3dc	bc_d2_n8_02_yd
b38cfc4ed72193b4fbd0ae6ec382d805	bc_d2_n8_02_yd
0128454338e963d58a70c0fe4bffb522	bc_d2_n8_02_yd
216332a3189402da02f44a3ebc6d627d	bc_d2_n8_09_yd
3c0e596f87da891ca7e594aaa760fa7a	bc_d2_n8_09_yd
4ebce65745950367f64b86feef28f97b	bc_d2_n8_09_yd
fb989b91f2e12d9e006b91e13425c412	bc_d2_n8_09_yd
76bb1271b76d32e2343a98cfab7568d1	bc_d2_n8_09_yd
5f517db19342a9bf475d074bf5c057d0	bc_d2_n8_09_yd
d185664f7fc331c3b1872a123dea88c8	bc_d2_n8_09_yd
b52056f83da2120587128c1860814cbe	bc_d2_n8_09_yd
a9855f814129697efe88f1a1eb01e0c1	bc_d2_n8_09_yd
318a0709fd00fbac808f45001907ae7f	bc_d2_n8_09_yd
3787b8568d220d50b5f3e60217a358cd	bc_d2_n8_09_yd
bf24215425fa474e4a076d67636b8f50	bc_d2_n8_09_yd
b65d4f84942b0beaf5f19b39381d7cc6	bc_d2_n8_09_yd
ac92f88faf8160ee220c2b998d15a252	bc_d2_n8_09_yd
d39a366a2e34524d2313df623b1496ac	bc_d2_n8_09_yd
3c179a9cbe6c7127ae9daf95b22d0024	bc_d2_n8_09_yd
b85d1bd3e2f8339b72e0811f6c656ba8	bc_d2_n8_09_yd
aa539d1c6f7415799788d0ab1d01e29d	bc_d2_n8_09_yd
932945bb95751159808ff5d986928a6a	bc_d2_n8_09_yd
4c91436748ac2af5a96aeb3815db61b1	bc_d2_n8_09_yd
45129de634774eefc6629608fc4d3f54	bc_d2_n8_09_yd
cd953ee23bf09596bb66542792a71dc3	bc_d2_n8_09_yd
43bb49dbf0d47c1a7f94a6535ec835d7	bc_d2_n8_09_yd
0b44348973079615584bd5eb4acfc07d	bc_d2_n8_09_yd
63b1e8a246c48abf357d1a2668502eea	bc_d2_n8_09_yd
59c140ed63ccd23d58c31e4fb35d20c0	bc_d2_n8_09_yd
7c8be404ad84f5bdd8ffb80ea94d9fb8	bc_d2_n8_09_yd
98905a099655705d30e1bef6797bc533	bc_d2_n8_09_yd
fc30bf61b8b408e78d13aac4e7674f88	bc_d2_n8_09_yd
a33ef6b25f5852b85ad2d6c14ebbd1fb	bc_d2_n8_09_yd
8b213fc10decdb19dba4b4b8a6a97a56	bc_d2_n8_09_yd
fd138ba6514ac732e65d6c39f3db960e	bc_d2_n8_03_yd
af95a0e0dc88f5359b7ad329ae73524d	bc_d2_n8_03_yd
c5303618df929099133d843ea209637c	bc_d2_n8_03_yd
c5f11137c7b2f9ae93e71931966285b4	bc_d2_n8_03_yd
4043d6e5876951086399e62b4b01d4fd	bc_d2_n8_03_yd
05e2d3c3464704deea77a2ba8de5c514	bc_d2_n8_03_yd
685ded9570bfb5d8aeff19b4ba8f1db7	bc_d2_n8_03_yd
1b90bb351f85d9ad4fb35baaa3582fa3	bc_d2_n8_03_yd
670012200a9027841e03715611bccc61	bc_d2_n8_03_yd
68c6a0ab5a65843356104f89a40e1d76	bc_d2_n8_03_yd
08ca7d42aeb14376c32ca636d23bb4a4	bc_d2_n8_03_yd
83434178c1ddc436605cee71889de88a	bc_d2_n8_03_yd
315b728941fbbda39d5db4a5b2a605b1	bc_d2_n8_03_yd
638c269da2a56b675466cc67d0f8107d	bc_d2_n8_03_yd
fdfd9f302b276703387e07daf60ef2f6	bc_d2_n8_03_yd
655820945ee29e77a9dd8cc3bf5a6e12	bc_d2_n8_03_yd
61d18929d4d8ed188bedfe8596bb8dfc	bc_d2_n8_03_yd
bf32c7d63de7a5ccac32c41d2bfc8ad6	bc_d2_n8_03_yd
0d22ea15c5ed300bf940fea370ee3f86	bc_d2_n8_03_yd
2770bc2fc2c8118ba0abe5d458a68a70	bc_d2_n8_03_yd
d59997d9bc5671cb8e9354c82ddc547d	bc_d2_n8_03_yd
a8fd3d55ddf3e90709d1725fc3d339dc	bc_d2_n8_03_yd
55075b28a58022f87256acec36876516	bc_d2_n8_03_yd
5d0ac94e0a868650612b619b78341c5d	bc_d2_n8_03_yd
a70feba0fe913a6ea0c84a7da3dcabf3	bc_d2_n8_01_yd
901cd819bac83810fc069ec4937d5eff	bc_d2_n8_01_yd
0b33ce57d3f2d3980d5e14f3852756a5	bc_d2_n8_01_yd
4823072111a1d5c871159444e3e5f6d0	bc_d2_n8_01_yd
1df04c4fc350dc6f57868919173c3528	bc_d2_n8_01_yd
bd5dc0616806b35fa21ec975a5add708	bc_d2_n8_01_yd
9d9f7c4ee552f8fa4141a9239fa03600	bc_d2_n8_01_yd
81042d4eac4c57259ab8e15c04feea1d	bc_d2_n8_01_yd
8a4c2c39fd1bf0f4ecad535b583b3a0d	bc_d2_n8_01_yd
ef665036040af83ab87ce1034c01a1b9	bc_d2_n8_01_yd
d79552d9b17b3721be6a5f67fb10abca	bc_d2_n8_01_yd
915ea033d727a6df4492e1400728a3f8	bc_d2_n8_01_yd
0a5393bcdffd3cc5455099725f118b53	bc_d2_n8_01_yd
ee3f91ee9f19792279722c07641bd5f3	bc_d2_n8_01_yd
603255b59c6588245c8ec5c5384660b4	bc_d2_n8_01_yd
c91b2992538e760564da845e65406207	bc_d2_n8_01_yd
297089b7283b938cc6e515998c2e926e	bc_d2_n8_01_yd
34efef3e4789ddfe9ff7d881a1bda0f5	bc_d2_n8_01_yd
63aad73cd3697d40c5f80862a9598032	bc_d2_n8_01_yd
185aa89566e5404d13ef007b336d031a	bc_d2_n8_01_yd
adcf0e8652f1029ceecdaee9a96cf005	bc_d2_n8_01_yd
a23808dc57c931299f6393c23dfb360c	bc_d2_n8_01_yd
949a2ab135ee1bbdd15ff775ee2a5733	bc_d2_n8_01_yd
c16ddf74b2909d18ca4934deba757c57	bc_d2_n8_01_yd
